시도,시군구,판정,우선순위,근거유형,메모,검토일
강원특별자치도,태백시,제외우선,상,사용자경험,"사용자 경험상 투자 매력과 출구 전략이 약한 지역으로 분류",2026-03-13
전북특별자치도,익산시,제외우선,상,사용자경험,"사용자 경험상 투자 효율이 낮고 우선 검토 대상으로 보기 어렵다고 판단",2026-03-13
서울특별시,송파구,우선검토,상,시장상식,"핵심 입지와 유동성이 충분해 방향성이 약해도 장기 투자 검토 대상에서 쉽게 제외할 지역은 아님",2026-03-13
경기도,성남시 분당구,우선검토,상,시장상식,"수요 기반과 생활권 질이 높아 투자 검토 대상군 상위에 두고 보는 편이 타당",2026-03-13
경기도,용인시 수지구,우선검토,상,시장상식,"수요층과 생활권 선호가 강해 투자 검토 대상군 상위에서 지속 점검할 가치가 큼",2026-03-13
인천광역시,연수구,우선검토,중,시장상식,"인천 내 선호와 유동성이 충분해 방향성 확인 전제로 우선 검토군에 둘 가치가 있음",2026-03-13
부산광역시,해운대구,우선검토,중,시장상식,"지방광역시 내 핵심 생활권으로 유동성과 선호가 상대적으로 높아 우선 검토 예시로 적절",2026-03-13
서울특별시,강남구,판단보류,상,시장상식,"투자 검토 가치는 매우 높지만 현재 가격 부담과 규제 민감도를 함께 봐야 하므로 무조건 우선 검토로 두지는 않음",2026-03-13
서울특별시,서초구,판단보류,상,시장상식,"핵심 입지지만 가격 부담과 단기 방향성 확인이 필요해 관찰 후 상향 검토가 적절",2026-03-13
서울특별시,마포구,판단보류,중,시장상식,"핵심 생활권 접근성은 좋지만 현재 국면에서 가격·거래·임차 흐름을 함께 봐야 함",2026-03-13
세종특별자치시,세종시,판단보류,중,시장상식,"시장 규모와 관심도는 크지만 변동성이 크고 현재 전세지지와 과열 부담을 함께 봐야 해 바로 우선 검토로 두기보다 관찰이 적절",2026-03-13
경기도,화성시 동탄구,판단보류,중,시장상식,"생활권 선호는 높지만 공급과 과열 가능성을 같이 봐야 하므로 판단 보류 예시로 둠",2026-03-13
경기도,하남시,판단보류,중,시장상식,"입지 매력은 있으나 가격 부담과 단기 과열 여부를 함께 확인해야 함",2026-03-13
경기도,과천시,판단보류,중,시장상식,"핵심 수요는 강하지만 표본과 상품성 차이 영향이 커서 기계적 제외보다 판단 보류로 보는 편이 타당",2026-03-13
전라남도,목포시,제외우선,중,초기휴리스틱,"반등 가능성과 별개로 투자 효율과 출구 전략 관점에서 우선 검토 대상으로 보기 어렵다는 초기 판단",2026-03-13
충청북도,보은군,제외우선,중,초기휴리스틱,"거래량과 비교 표본이 매우 부족해 투자 판단 기준 지역으로 삼기 어렵다는 초기 판단",2026-03-13
충청남도,홍성군,제외우선,중,초기휴리스틱,"방향성 신호가 있어도 투자 적합성과 출구 전략 측면에서 우선 검토보다는 제외 쪽이 타당하다는 초기 판단",2026-03-13
서울특별시,서대문구,우선검토,중,시장상식,"서울 내 유동성과 생활권 접근성이 충분하고 상대가격 부담이 과도하지 않아 우선 검토 예시로 볼 수 있음",2026-03-13
부산광역시,동래구,우선검토,중,시장상식,"부산 내 선호와 유동성이 높은 축에 속해 핵심 생활권 예시로 우선 검토가 타당",2026-03-13
부산광역시,부산진구,우선검토,중,시장상식,"부산 핵심 생활권 접근성과 시장 규모가 충분해 우선 검토군 예시로 적절",2026-03-13
서울특별시,강동구,판단보류,중,시장상식,"기본 수요와 유동성은 충분하지만 현재는 가격 부담과 단기 과열 여부를 같이 봐야 함",2026-03-13
서울특별시,노원구,판단보류,중,시장상식,"수요 기반은 있으나 현 시점에서는 추가 방향성 확인과 생활권별 선별이 필요",2026-03-13
서울특별시,영등포구,판단보류,중,시장상식,"직주근접성과 유동성은 좋지만 현재 가격·거래 흐름을 함께 보며 상향 여부를 판단하는 편이 적절",2026-03-13
경기도,남양주시,판단보류,중,시장상식,"시장 규모는 크지만 공급과 국면별 변동성이 있어 무조건 우선 검토보다는 관찰이 적절",2026-03-13
경기도,시흥시,판단보류,중,시장상식,"입지 확장 기대는 있으나 가격 반영과 실제 수요 강도를 더 확인할 필요가 있음",2026-03-13
경기도,용인시 기흥구,판단보류,중,시장상식,"생활권 선호와 유동성은 강하지만 단기 과열 가능성을 같이 봐야 해 판단 보류가 타당",2026-03-13
대구광역시,수성구,판단보류,중,시장상식,"대구 내 핵심 선호 지역이지만 현재 시점에서는 가격 부담과 회복 강도를 함께 확인해야 함",2026-03-13
전라남도,화순군,제외우선,중,초기휴리스틱,"표본과 시장 규모가 작고 투자 적합성이 낮아 현 단계에서는 제외우선이 타당하다는 초기 판단",2026-03-13
전북특별자치도,김제시,제외우선,중,초기휴리스틱,"거래와 비교 표본이 제한적이고 투자 적합성이 낮아 현 단계에서는 제외우선으로 보는 편이 안전",2026-03-13
