시도,시군구,읍면동,정규화_단지명,curr_trades,yoy_pct,세대수,세대수_구간,기준연식,기준연식_구분,rn
경기도,군포시,금정동,주공(1단지),1,14.87,1329,1000~1499세대,34,30년 이상,1
경기도,군포시,금정동,다산주공(3단지),3,11.98,829,500~999세대,34,30년 이상,2
경기도,군포시,산본동,신안모란,2,9.17,716,500~999세대,32,30년 이상,3
경기도,김포시,양촌읍,김포한강 신원 아침도시 고다니,1,16.75,380,500세대 미만,16,10~20년 미만,1
경기도,김포시,고촌읍,수기마을힐스테이트1단지,1,13.28,1253,1000~1499세대,18,10~20년 미만,2
경기도,김포시,고촌읍,힐스테이트 리버시티 1단지,1,10.61,1568,1500세대 이상,6,5~10년 미만,3
경기도,부천시 원미구,상동,진달래마을(대림),2,18.32,,,,,1
경기도,부천시 원미구,상동,스타팰리스2,1,14.75,,,,,2
경기도,부천시 원미구,중동,미리내마을(롯데2),3,14.57,,,,,3
서울특별시,성북구,종암동,종암선경,1,48.91,238,500세대 미만,30,30년 이상,1
서울특별시,성북구,길음동,길음뉴타운4단지(e편한세상),2,38.53,1605,1500세대 이상,21,20~30년 미만,2
서울특별시,성북구,길음동,길음뉴타운1단지(래미안길음1차),2,34.37,1125,1000~1499세대,23,20~30년 미만,3
경기도,수원시 영통구,이의동,광교에듀포레,5,24.06,,,,,1
경기도,수원시 영통구,하동,광교더리브,5,23.39,,,,,2
경기도,수원시 영통구,영통동,영통3풍림아이원,1,21.88,,,,,3
경기도,안양시 만안구,안양동,삼성래미안,6,22.53,,,,,1
경기도,안양시 만안구,안양동,래미안안양메가트리아,5,15.04,,,,,2
경기도,안양시 만안구,석수동,현대아이파크,5,14.92,,,,,3
서울특별시,영등포구,당산동3가,당산한양,1,48.15,338,500세대 미만,40,30년 이상,1
서울특별시,영등포구,신길동,삼성,2,44.89,384,500세대 미만,42,30년 이상,2
서울특별시,영등포구,신길동,우성2,3,44.3,725,500~999세대,40,30년 이상,3
경기도,용인시 기흥구,마북동,삼거마을삼성래미안1,1,31.49,,,,,1
경기도,용인시 기흥구,구갈동,기흥역파크푸르지오,8,27.98,,,,,2
경기도,용인시 기흥구,영덕동,흥덕마을자연앤스위첸,5,27.56,,,,,3
경기도,파주시,목동동,산내마을8단지월드메르디앙(114-37),1,9.05,1028,1000~1499세대,25,20~30년 미만,1
경기도,파주시,와동동,가람마을8단지동문굿모닝힐,2,6.14,1225,1000~1499세대,25,20~30년 미만,2
경기도,파주시,문산읍,파주한양수자인리버팰리스아파트,2,4.06,1006,1000~1499세대,11,10~20년 미만,3
경기도,평택시,세교동,부영2,2,11.96,780,500~999세대,26,20~30년 미만,1
경기도,평택시,고덕동,고덕국제신도시제일풍경채,5,9.29,1022,1000~1499세대,7,5~10년 미만,2
경기도,평택시,고덕동,고덕국제신도시제일풍경채3차센텀,2,8.46,820,500~999세대,3,5년 미만,3
경기도,하남시,선동,리버나인RIVERNINE,1,33.75,712,500~999세대,12,10~20년 미만,1
경기도,하남시,선동,미사강변도시 베라체,5,32.27,615,500~999세대,11,10~20년 미만,2
경기도,하남시,감이동,힐스테이트포웰시티,4,30.78,932,500~999세대,6,5~10년 미만,3
경기도,화성시 동탄구,청계동,동탄역시범금강펜테리움센트럴파크3,1,30.02,,,,,1
경기도,화성시 동탄구,청계동,동탄역 시범우남퍼스트빌아파트,2,28.59,,,,,2
경기도,화성시 동탄구,여울동,동탄역롯데캐슬,3,27.64,,,,,3
