권역,시도,심화행동라벨,지역수,평균상승확률점수,평균투자적합성점수
기타지방,강원특별자치도,보수 접근,1,41.95,62.25
기타지방,강원특별자치도,우선 매수 검토,1,68.36,61.67
기타지방,강원특별자치도,회피,11,46.87,23.06
기타지방,경상남도,관찰 유지,2,59.36,75.14
기타지방,경상남도,보수 접근,3,60.29,55.08
기타지방,경상남도,우선 매수 검토,1,60.31,69.66
기타지방,경상남도,회피,11,55.06,21.11
기타지방,경상북도,보수 접근,1,54.96,64.35
기타지방,경상북도,회피,14,48.27,24.61
기타지방,세종특별자치시,관찰 유지,1,36.91,90.05
기타지방,전라남도,우선 매수 검토,1,60.46,56.38
기타지방,전라남도,회피,11,50.67,24.72
기타지방,전북특별자치도,관찰 유지,2,50.46,69.31
기타지방,전북특별자치도,보수 접근,1,51.77,50.35
기타지방,전북특별자치도,회피,6,51.98,22.5
기타지방,제주특별자치도,보수 접근,1,36.84,50.15
기타지방,제주특별자치도,회피,1,32.39,34.78
기타지방,충청남도,관찰 유지,1,51.5,66.6
기타지방,충청남도,회피,13,50.49,24.84
기타지방,충청북도,관찰 유지,3,43.03,63.78
기타지방,충청북도,회피,9,48.32,24.9
수도권,경기도,관찰 유지,21,47.53,76.36
수도권,경기도,보수 접근,13,52.26,66.56
수도권,경기도,우선 매수 검토,3,73.28,67.49
수도권,경기도,회피,10,47.51,28.71
수도권,서울특별시,관찰 유지,10,45.82,77.19
수도권,서울특별시,보수 접근,12,46.66,71.51
수도권,서울특별시,회피,3,44.22,46.1
수도권,인천광역시,관찰 유지,2,45.42,89.84
수도권,인천광역시,보수 접근,4,44.35,66.65
수도권,인천광역시,회피,3,46.69,26.85
지방광역시,광주광역시,보수 접근,2,53.97,72.41
지방광역시,광주광역시,우선 매수 검토,2,65.42,67.17
지방광역시,광주광역시,회피,1,43.47,45.83
지방광역시,대구광역시,관찰 유지,3,55.38,82.73
지방광역시,대구광역시,보수 접근,3,49.98,60.61
지방광역시,대구광역시,회피,2,42.99,40.09
지방광역시,대전광역시,관찰 유지,2,58.57,82.1
지방광역시,대전광역시,보수 접근,1,54.2,51.66
지방광역시,대전광역시,회피,2,52.24,45.56
지방광역시,부산광역시,관찰 유지,1,56.01,82.75
지방광역시,부산광역시,보수 접근,4,56.91,58.62
지방광역시,부산광역시,우선 매수 검토,4,64.93,69.57
지방광역시,부산광역시,회피,7,52.08,32.42
지방광역시,울산광역시,관찰 유지,2,53.45,69.46
지방광역시,울산광역시,보수 접근,2,52.63,61.3
지방광역시,울산광역시,회피,1,62.65,42.13
