권역,시도,지역수,임차수요기반양호_지역수,월세화경계_지역수,임차선행_지역수,기다림필요_지역수,평균전세가율,평균월세비중
기타지방,강원특별자치도,13,1,6,3,1,74.12,42.68
기타지방,경상남도,17,3,7,11,3,80.2,43.69
기타지방,경상북도,15,3,7,8,1,76.5,44.19
기타지방,세종특별자치시,1,0,0,0,1,44.5,35.92
기타지방,전라남도,12,4,4,7,0,79.39,35.19
기타지방,전북특별자치도,9,3,3,8,3,78.23,38.97
기타지방,제주특별자치도,2,0,2,2,1,70.37,56.69
기타지방,충청남도,14,5,5,10,1,76.72,35.41
기타지방,충청북도,12,3,5,6,2,77.24,39.13
수도권,경기도,47,10,11,17,29,65.98,34.48
수도권,서울특별시,25,0,5,3,22,49.63,35.21
수도권,인천광역시,9,0,4,4,6,68.76,46.14
지방광역시,광주광역시,5,2,2,5,1,72.45,33.58
지방광역시,대구광역시,8,0,4,3,6,63.44,45.92
지방광역시,대전광역시,5,1,2,4,3,72.39,32.52
지방광역시,부산광역시,16,2,6,6,5,66.64,36.0
지방광역시,울산광역시,5,1,2,3,3,74.34,36.29
