심화행동라벨,시도,시군구,예측분류,투자검토분류,상승확률점수,투자적합성점수,price_12m_change_pct,trade_recovery_pct,recent_jeonse_ratio_3m,recent_jeonse_share_3m,recent_wolse_share_3m,sale_turn_ym,jeonse_turn_ym,lead_lag_months,임차수요기반양호,월세화경계,임차선행,기다림필요,임차검증메모
관찰 유지,경기도,용인시 기흥구,상승,판단 보류,64.23371396788775,89.95544446859378,11.539354156978664,63.27526132404182,66.885,68.62745098039215,31.372549019607842,202310,202311,1.0,아니오,아니오,아니오,예,"전세가율 66.9%, 월세비중 31.4%, 매매가 전세보다 1개월 선행"
관찰 유지,경기도,화성시 동탄구,상승,판단 보류,56.41453754998251,91.82242990654206,7.913725597880528,65.881708652793,56.65,58.173395102581075,41.826604897418925,202308,,,아니오,예,아니오,예,"전세가율 56.6%, 월세비중 41.8%, 월세화 경계"
관찰 유지,서울특별시,영등포구,보합,판단 보류,49.29736844171215,81.6795060655091,4.360261295121748,-19.981149858623937,44.33,68.57562408223201,31.42437591776799,202310,202311,1.0,아니오,아니오,아니오,예,"전세가율 44.3%, 월세비중 31.4%, 매매가 전세보다 1개월 선행"
관찰 유지,서울특별시,성북구,보합,판단 보류,46.54279422032359,79.31869346706702,14.069877242681784,6.877113866967299,56.855000000000004,65.27196652719665,34.72803347280335,202310,202311,1.0,아니오,아니오,아니오,예,"전세가율 56.9%, 월세비중 34.7%, 매매가 전세보다 1개월 선행"
관찰 유지,경기도,수원시 영통구,보합,판단 보류,45.24433269881055,88.340578135188,19.126083650889836,-3.749999999999998,64.78999999999999,65.57059961315281,34.42940038684719,202309,202310,1.0,아니오,아니오,아니오,예,"전세가율 64.8%, 월세비중 34.4%, 매매가 전세보다 1개월 선행"
관찰 유지,경기도,용인시 수지구,하락,우선 검토,44.500445257772896,93.69702238643772,9.899045460770584,-14.413909141895688,61.2,71.06824925816024,28.931750741839764,202308,202309,1.0,아니오,아니오,아니오,예,"전세가율 61.2%, 월세비중 28.9%, 매매가 전세보다 1개월 선행"
관찰 유지,경기도,하남시,하락,판단 보류,38.31189934282322,85.95023626103826,16.13426470972974,-1.9776440240756643,54.540000000000006,54.876462938881666,45.123537061118334,202310,202310,0.0,아니오,예,아니오,예,"전세가율 54.5%, 월세비중 45.1%, 전세와 매매 전환 시점이 거의 동시, 월세화 경계"
보수 접근,경기도,파주시,보합,판단 보류,52.363873566515785,77.63290857328387,4.729586251964202,-3.154305200341001,72.06,63.63636363636363,36.36363636363637,202312,202310,-2.0,아니오,아니오,예,예,"전세가율 72.1%, 월세비중 36.4%, 전세가 매매보다 2개월 선행, 임차 선행"
보수 접근,경기도,양주시,보합,판단 보류,52.32119450221225,62.39226040501126,-10.633266859002976,-5.064935064935061,67.71000000000001,32.5437693099897,67.4562306900103,202310,202311,1.0,아니오,예,아니오,예,"전세가율 67.7%, 월세비중 67.5%, 매매가 전세보다 1개월 선행, 월세화 경계"
보수 접근,경기도,평택시,보합,판단 보류,51.56310699023732,78.33825711533457,-7.541882803652866,-4.8071216617210695,72.22,48.99274778404512,51.00725221595488,202311,202311,0.0,아니오,예,예,예,"전세가율 72.2%, 월세비중 51.0%, 전세와 매매 전환 시점이 거의 동시, 월세화 경계, 임차 선행"
보수 접근,경기도,김포시,보합,판단 보류,51.262120986216615,80.71728904881118,1.4944451293000591,-13.303099017384737,71.23,60.06224066390042,39.93775933609958,202310,202311,1.0,아니오,아니오,아니오,예,"전세가율 71.2%, 월세비중 39.9%, 매매가 전세보다 1개월 선행"
보수 접근,경기도,시흥시,보합,판단 보류,50.58319629195921,88.61433773119639,5.059182460556255,2.2382094324540303,65.2,58.77689694224235,41.22310305775765,202309,202308,-1.0,아니오,예,예,예,"전세가율 65.2%, 월세비중 41.2%, 전세가 매매보다 1개월 선행, 월세화 경계, 임차 선행"
우선 매수 검토,경기도,부천시 원미구,상승,우선 검토,76.36272602698541,71.58117800478158,-7.968071197211457,43.61904761904762,66.815,73.88535031847134,26.11464968152866,202310,202312,2.0,예,아니오,아니오,아니오,"전세가율 66.8%, 월세비중 26.1%, 매매가 전세보다 2개월 선행, 임차 수요 기반 양호"
우선 매수 검토,경기도,안양시 만안구,상승,우선 검토,72.86635264118131,69.95761790915019,-4.626830353659406,41.93548387096775,66.78,76.13636363636364,23.863636363636363,202310,202311,1.0,예,아니오,아니오,아니오,"전세가율 66.8%, 월세비중 23.9%, 매매가 전세보다 1개월 선행, 임차 수요 기반 양호"
우선 매수 검토,경기도,군포시,상승,우선 검토,70.61334108802245,60.94061677413123,-0.242492112608883,29.79942693409743,67.41499999999999,80.12048192771084,19.879518072289155,202309,202312,3.0,예,아니오,아니오,아니오,"전세가율 67.4%, 월세비중 19.9%, 매매가 전세보다 3개월 선행, 임차 수요 기반 양호"
회피,전라남도,목포시,상승,즉시 제외,69.05987786934796,42.94506561912198,8.272644071183999,15.91695501730104,83.33,90.9090909090909,9.090909090909092,202302,202308,6.0,예,아니오,아니오,아니오,"전세가율 83.3%, 월세비중 9.1%, 매매가 전세보다 6개월 선행, 임차 수요 기반 양호"
회피,전라남도,화순군,상승,즉시 제외,66.64759946263356,22.161486633340576,-19.194107380301872,10.44776119402986,74.92,100.0,0.0,202301,202304,3.0,예,아니오,아니오,아니오,"전세가율 74.9%, 월세비중 0.0%, 매매가 전세보다 3개월 선행, 임차 수요 기반 양호"
회피,강원특별자치도,태백시,상승,즉시 제외,66.52884456459765,2.5330242217875343,-8.664782044134455,0.0,,100.0,0.0,202303,,,아니오,아니오,아니오,아니오,월세비중 0.0%
