score_bucket,샘플수,실제상승비율,실제하락비율,평균6개월변화율,평균점수
"(6.417, 35.753]",3916,0.3307,0.5097,-3.4,29.47
"(35.753, 41.164]",3916,0.381,0.4183,-0.24,38.73
"(41.164, 44.837]",3916,0.403,0.37,2.09,43.08
"(44.837, 47.928]",3915,0.4194,0.3351,2.87,46.43
"(47.928, 50.699]",3916,0.4558,0.2967,4.15,49.33
"(50.699, 53.268]",3916,0.4793,0.2676,5.72,51.96
"(53.268, 55.977]",3915,0.4991,0.2381,6.66,54.6
"(55.977, 59.162]",3916,0.5329,0.204,7.97,57.54
"(59.162, 63.516]",3916,0.5692,0.1808,8.58,61.17
"(63.516, 87.188]",3916,0.6387,0.1634,13.27,68.1
